SOPNUMBE,LNITMSEQ,CLAVE,DESCRIPCION,CANTIDAD,CLAVEUNIDAD,UNIDAD,DIMLARGO,DIMALTO,DIMANCHO,DIMTIPO,PELIGROSO,CLAVEPELIGROSO,EMBALAJE,EMBALAJEDESC,PESOKG,VALOR,MONEDA,FRACCIONARC,UUIDCOMEXT,PEDIMENTO,ITEMNBR
3444,1,31142004,ADAPTADOR DE PLASTICO,8100,H87,Pieza,0,0,0,,,,,,448.25,0,,,,,
3444,2,31163100,CONECTOR DE PLASTICO,4410,H87,Pieza,0,0,0,,,,,,339.47,0,,,,,
3444,3,31401502,EMPAQUE DE HULE,7488,H87,Pieza,0,0,0,,,,,,288.29,0,,,,,
3444,4,13111305,ALMOHADILLA DE PLASTICO (SUPRESOR DE RUIDO),5750,H87,Pieza,0,0,0,,,,,,25.57,0,,,,,
3444,5,31401502,TIRA DE CAUCHO CELULAR,5200,H87,Pieza,0,0,0,,,,,,3.83,0,,,,,
3444,6,13111302,MEMBRANA FILTRANTE DE PLASTICO,3440,H87,Pieza,0,0,0,,,,,,112.35,0,,,,,
3444,7,13111305,ALMOHADILLA DE PLASTICO,8100,H87,Pieza,0,0,0,,,,,,936.92,0,,,,,
3444,8,31401501,EMPAQUE DE CAUCHO CELULAR,1800,H87,Pieza,0,0,0,,,,,,23.01,0,,,,,
3444,9,39131700,CABLE CONDUCTOR ELECTRICO,75000,H87,Pieza,0,0,0,,,,,,310.27,0,,,,,
3444,10,40161508,BOLSA FILTRANTE,1800,H87,Pieza,0,0,0,,,,,,163.3,0,,,,,
3444,11,39122221,CUBIERTA PARA INTERRUPTOR,9600,H87,Pieza,0,0,0,,,,,,280,0,,,,,
3444,12,11162200,TELA SIN TEJER,4256,LBR,Libra,0,0,0,,,,,,1930.53,0,,,,,
3444,13,42192606,SOPLADOR PARA VENTILADOR,14040,H87,Pieza,0,0,0,,,,,,611.39,0,,,,,
3444,14,47121607,TUBO DE PLASTICO FLEXIBLE,1000,H87,Pieza,0,0,0,,,,,,644.12,0,,,,,
3444,15,31162702,RUEDAS DE METAL,21600,H87,Pieza,0,0,0,,,,,,1533.6,0,,,,,
3444,16,10141609,ARNES SUJETADOR,480,H87,Pieza,0,0,0,,,,,,446.35,0,,,,,
3444,17,14111537,ETIQUETAS DE PAPEL NO IMPRESAS,43800,H87,Pieza,0,0,0,,,,,,74.5,0,,,,,
3444,18,14111537,ETIQUETAS DE PAPEL NO IMPRESAS,96000,H87,Pieza,0,0,0,,,,,,69.59,0,,,,,
3444,19,55121606,ETIQUETA DE PLASTICO CON ADHESIVO,4000,H87,Pieza,0,0,0,,,,,,3.63,0,,,,,
3444,20,55121606,ETIQUETA DE PLASTICO CON ADHESIVO,2500,H87,Pieza,0,0,0,,,,,,2.22,0,,,,,
3444,21,55121606,ETIQUETA DE PLASTICO CON ADHESIVO,25000,H87,Pieza,0,0,0,,,,,,12.03,0,,,,,
3444,22,55121606,ETIQUETA DE PLASTICO AUTOADHESIVA,5000,H87,Pieza,0,0,0,,,,,,5.22,0,,,,,
3444,23,55121606,ETIQUETA DE PLASTICO AUTOADHESIVA,4000,H87,Pieza,0,0,0,,,,,,5.99,0,,,,,
3444,24,55121606,ETIQUETA DE PLASTICO CON ADHESIVO,4000,H87,Pieza,0,0,0,,,,,,8.9,0,,,,,
3444,25,55121606,ETIQUETA DE PLASTICO CON ADHESIVO,12000,H87,Pieza,0,0,0,,,,,,5.76,0,,,,,
3444,26,44103112,CINTA DE TRANSFERENCIA TERMICA,35424,H87,Pieza,0,0,0,,,,,,8.04,0,,,,,
